version,language,gaming_frequency,consent_understand,consent_publication,consent,pf1,pf2,pf3,pf4,imi1,imi2,imi3,imi4,imi5,imi6,imi7,bug,bugdesc,imi_enjoyment,play_framing,total_moves,moves_correct_form,grammatical_moves_idealised,proportion_of_valid_data_total_idealised,proportion_of_valid_data_first20_idealised,proportion_of_valid_data_providing_mechanic_actuations_total_idealised,moves_correct_form_last16,grammatical_moves_last16_idealised,proportion_of_valid_data_last16_idealised,proportion_of_valid_data_providing_mechanic_actuations_last16_idealised,time_per_input_from_moveDurations,time_per_input_from_8min
HighFraming,english,several-times-a-week,True,True,True,3,3,4,3,3,4,2,5,5,5,5,nobug,,3.857142857142857,3.5,17,15,0,0.0,0.0,0.0,13,0,0.0,0.0,12.396764705882353,28.235294117647058
LowFraming,english,about-once-a-week,True,True,True,5,5,1,1,5,5,5,6,6,6,1,nobug,,3.4285714285714284,4.25,14,11,0,0.0,0.0,0.0,11,0,0.0,0.0,17.9033466666619,34.285714285714285
LowFraming,english,every-day,True,True,True,3,5,2,1,3,3,3,6,6,6,1,nobug,,3.142857142857143,4.0,23,23,4,0.17391304347826086,0.15,0.17391304347826086,15,3,0.2,0.2,12.117195833332838,20.869565217391305
HighFraming,english,several-times-a-week,True,True,True,3,3,4,3,2,3,2,5,5,5,2,nobug,,3.142857142857143,3.5,24,21,2,0.08333333333333333,0.1,0.09523809523809523,12,2,0.13333333333333333,0.16666666666666666,12.513062499999997,20.0
LowFraming,english,several-times-a-week,True,True,True,4,4,1,4,3,4,2,6,6,6,1,nobug,,3.4285714285714284,3.0,12,11,0,0.0,0.0,0.0,11,0,0.0,0.0,21.06463076922985,40.0
HighFraming,english,every-day,True,True,True,5,4,1,1,4,4,4,6,5,5,4,nobug,,3.4285714285714284,4.0,32,29,27,0.84375,0.75,0.9310344827586207,15,15,1.0,1.0,10.341959374999629,15.0
HighFraming,english,almost-never,True,True,True,3,3,3,4,2,2,1,1,5,3,3,nobug,,3.5714285714285716,3.0,41,39,19,0.4634146341463415,0.4,0.48717948717948717,14,7,0.4666666666666667,0.5,7.693880487802553,11.707317073170731
LowFraming,english,every-day,True,True,True,4,4,2,1,3,3,2,6,5,5,1,nobug,,3.0,4.0,28,28,8,0.2857142857142857,0.2,0.2857142857142857,15,5,0.3333333333333333,0.3333333333333333,12.255220689655378,17.142857142857142
HighFraming,english,several-times-a-week,True,True,True,4,4,2,1,3,4,3,4,4,4,3,nobug,,3.2857142857142856,4.0,13,13,10,0.7692307692307693,0.5,0.7692307692307693,13,10,0.6666666666666666,0.7692307692307693,24.41415384615385,36.92307692307692
LowFraming,english,almost-never,True,True,True,4,3,1,1,4,4,2,5,5,5,2,nobug,,3.5714285714285716,3.5,9,6,4,0.4444444444444444,0.2,0.6666666666666666,6,4,0.26666666666666666,0.6666666666666666,17.031100000000002,53.333333333333336
HighFraming,english,about-once-a-month,True,True,True,4,4,1,1,3,4,4,5,5,5,2,bug,some of the words were too close together to click on some descriptions (bit of an overlap),3.142857142857143,3.75,26,25,10,0.38461538461538464,0.35,0.4,15,7,0.4666666666666667,0.4666666666666667,11.935980769228477,18.46153846153846
LowFraming,english,several-times-a-week,True,True,True,4,4,2,1,3,4,3,5,5,5,2,nobug,,3.2857142857142856,4.0,25,25,22,0.88,0.85,0.88,15,14,0.9333333333333333,0.9333333333333333,14.078961538461543,19.2
LowFraming,english,several-times-a-week,True,True,True,5,5,1,1,5,5,5,6,6,6,1,nobug,,3.4285714285714284,4.25,22,19,1,0.045454545454545456,0.0,0.05263157894736842,13,1,0.06666666666666667,0.07692307692307693,13.506595652173962,21.818181818181817
LowFraming,english,about-once-a-month,True,True,True,2,3,4,1,2,2,2,5,6,1,5,nobug,,3.0,3.75,16,14,2,0.125,0.1,0.14285714285714285,13,2,0.13333333333333333,0.15384615384615385,15.65118970588425,30.0
HighFraming,english,about-once-a-week,True,True,True,5,5,1,1,5,5,5,6,6,6,2,nobug,,3.5714285714285716,4.25,21,19,17,0.8095238095238095,0.8,0.8947368421052632,14,14,0.9333333333333333,1.0,15.975461904764174,22.857142857142858
